0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/botaoazul3.PNG HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/botaoazul5.PNG HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/resetsenha.png HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/botaoazul46.PNG HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/inicio.PNG HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/botaoazul10.PNG HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/anterior.PNG HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/proximo.PNG HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/botaoazul01.PNG HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/fim.PNG HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/botaoazul24.PNG HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/vacina.JPG HTTP/1.1" 200 7396
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:23 -0300] "GET /Sistema2/imagens/botaobanco51.png HTTP/1.1" 200 31157
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:53 -0300] "GET /Sistema2/cad_senha.jsp?opcao=lis_grid&Cod_2= HTTP/1.1" 200 19637
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:53 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:54 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:56 -0300] "GET /Sistema2/cad_senha.jsp?opcao=lis_grid&Cod_2= HTTP/1.1" 200 19637
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:57 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:40:06 -0300] "GET /Sistema2/menu1.jsp HTTP/1.1" 200 21608
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:40:07 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:40:10 -0300] "GET /Sistema2/login.jsp HTTP/1.1" 200 6070
