0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:07 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:10 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 26349
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:10 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:41 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:41 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:41 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:41 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:51:12 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:51:12 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:51:12 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:51:12 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:51:42 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:51:42 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:51:42 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:51:42 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:52:12 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:52:12 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
