192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/cadeado.gif HTTP/1.1" 200 2161
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 200 27717
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/login.PNG HTTP/1.1" 200 1143
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 200 2056
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/ajud-1.png HTTP/1.1" 200 29004
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/caixa.png HTTP/1.1" 200 30438
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/favicon.ico HTTP/1.1" 200 766
192.168.1.113 - - [20/Mar/2013:18:22:45 -0300] "POST /Sistema2/logar.jsp?acao=logar HTTP/1.1" 302 -
192.168.1.113 - - [20/Mar/2013:18:22:45 -0300] "GET /Sistema2/menu1.jsp?login=entrou HTTP/1.1" 200 21609
192.168.1.113 - - [20/Mar/2013:18:22:45 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 200 54
192.168.1.113 - - [20/Mar/2013:18:22:45 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 200 54
192.168.1.113 - - [20/Mar/2013:18:22:45 -0300] "GET /Sistema2/imagens/carta.gif HTTP/1.1" 200 10565
192.168.1.113 - - [20/Mar/2013:18:22:45 -0300] "GET /Sistema2/imagens/carta.gif HTTP/1.1" 200 10565
192.168.1.113 - - [20/Mar/2013:18:22:45 -0300] "GET /Sistema2/imagens/menu.png HTTP/1.1" 200 28199
192.168.1.113 - - [20/Mar/2013:18:22:46 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 500 3674
192.168.1.113 - - [20/Mar/2013:18:23:19 -0300] "GET /Sistema2/cad_senha.jsp HTTP/1.1" 200 19624
192.168.1.113 - - [20/Mar/2013:18:23:19 -0300] "GET /Sistema2/imagens/proximo.PNG HTTP/1.1" 200 770
